delta,scoi intent fat4 10,sco flow fat4 10,scoi flow fat4 10,fault count
00:00:00,0.0,0.0,0.0,
00:00:01,0.0,0.0,0.0,1.0
00:00:02,0.0,0.0,0.0,1.0
00:00:03,0.0,0.0,0.0,1.0
00:00:04,0.0,0.0,0.0,1.0
00:00:05,0.0,0.0,0.0,1.0
00:00:06,0.0,0.0,0.0,1.0
00:00:07,0.0,0.0,0.0,1.0
00:00:08,11.67,0.0,0.83,2.0
00:00:09,0.0,0.0,0.0,2.0
00:00:10,0.0,0.0,0.0,2.0
00:00:11,0.0,0.0,0.0,2.0
00:00:12,0.0,0.0,0.0,2.0
00:00:13,0.0,0.0,0.0,2.0
00:00:14,0.0,0.0,0.0,2.0
00:00:15,0.0,0.0,0.0,2.0
00:00:16,0.0,0.0,0.0,2.0
00:00:17,0.0,0.0,0.0,2.0
00:00:18,10.83,0.0,10.83,3.0
00:00:19,0.0,0.0,0.0,3.0
00:00:20,0.0,0.0,0.0,3.0
00:00:21,0.0,0.0,0.0,3.0
00:00:22,0.0,0.0,0.0,3.0
00:00:23,0.0,0.0,0.0,3.0
00:00:24,0.0,0.0,0.0,3.0
00:00:25,0.0,0.0,0.0,3.0
00:00:26,0.0,0.0,0.0,3.0
00:00:27,0.0,0.0,0.0,3.0
00:00:28,0.0,0.0,0.0,3.0
00:00:29,0.0,0.0,0.0,4.0
00:00:30,0.0,0.0,0.0,4.0
00:00:31,0.0,0.0,0.0,4.0
00:00:32,0.0,0.0,0.0,4.0
00:00:33,0.0,0.0,0.0,4.0
00:00:34,0.0,0.0,0.0,4.0
00:00:35,0.0,0.0,0.0,4.0
00:00:36,0.0,0.0,0.0,4.0
00:00:37,9.17,9.17,9.17,5.0
00:00:38,0.0,9.17,0.0,5.0
00:00:39,0.0,0.0,0.0,5.0
00:00:40,0.0,0.0,0.0,5.0
00:00:41,0.0,0.0,0.0,5.0
00:00:42,0.0,0.0,0.0,5.0
00:00:43,0.0,0.0,0.0,5.0
00:00:44,0.0,0.0,0.0,5.0
00:00:45,0.0,0.0,0.0,5.0
00:00:46,0.0,0.0,0.0,5.0
00:00:47,0.0,0.0,0.0,5.0
00:00:48,0.0,0.0,0.0,6.0
00:00:49,0.0,0.0,0.0,6.0
00:00:50,0.0,0.0,0.0,6.0
00:00:51,0.0,0.0,0.0,6.0
00:00:52,0.0,0.0,0.0,6.0
00:00:53,7.5,0.0,7.5,7.0
00:00:54,0.0,0.0,0.0,7.0
00:00:55,0.0,0.0,0.0,7.0
00:00:56,0.0,0.0,0.0,7.0
00:00:57,0.0,0.0,0.0,7.0
00:00:58,0.0,0.0,0.0,7.0
00:00:59,0.0,0.0,0.0,7.0
00:01:00,0.0,0.0,0.0,7.0
00:01:01,0.0,0.0,0.0,7.0
00:01:02,0.0,0.0,0.0,7.0
00:01:03,0.0,0.0,0.0,7.0
00:01:04,0.0,5.0,0.0,7.0
00:01:05,0.0,5.0,0.0,7.0
00:01:06,6.67,4.17,6.67,8.0
00:01:07,0.0,2.5,0.0,8.0
00:01:08,0.0,0.0,0.0,8.0
00:01:09,0.0,0.0,0.0,8.0
00:01:10,0.0,0.42,0.0,8.0
00:01:11,0.0,0.0,0.0,8.0
00:01:12,0.0,0.0,0.0,8.0
00:01:13,0.0,0.0,0.0,8.0
00:01:14,0.0,0.0,0.0,8.0
00:01:15,0.0,0.0,0.0,8.0
00:01:16,0.0,0.0,0.0,8.0
00:01:17,0.0,0.0,0.0,8.0
00:01:18,0.0,5.0,0.0,9.0
00:01:19,3.33,11.67,3.33,9.0
00:01:20,3.33,11.67,3.33,9.0
00:01:21,3.33,11.67,3.33,9.0
00:01:22,3.33,13.33,3.33,9.0
00:01:23,3.33,13.33,3.33,9.0
00:01:24,2.5,20.42,2.5,9.0
00:01:25,2.5,7.5,2.5,9.0
00:01:26,2.5,7.5,2.5,9.0
00:01:27,1.67,0.0,1.67,9.0
00:01:28,0.0,0.0,0.0,9.0
00:01:29,0.0,0.0,0.0,9.0
00:01:30,0.0,0.0,0.0,9.0
00:01:31,0.0,0.0,0.0,9.0
00:01:32,0.0,0.0,0.0,9.0
00:01:33,0.0,0.0,0.0,9.0
00:01:34,6.67,0.0,6.67,10.0
00:01:35,0.0,0.0,0.0,10.0
00:01:36,0.0,0.0,0.0,10.0
00:01:37,0.0,0.0,0.0,10.0
00:01:38,0.0,5.0,0.0,10.0
00:01:39,0.0,12.92,0.0,10.0
00:01:40,0.0,13.33,0.0,10.0
